	tiempo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	Coincidencia	Time_event	Num_event
374	427911122351.0	23325.0	23338.0	23330.0	23330.0	23327.0	23335.0	23328.0	23321.0	23330.0	23340.0	23330.0	23334.0	23333.0	23327.0	23327.0	23327.0	23323.0	23338.0	23334.0	23326.0	23334.0	23332.0	23328.0	23334.0	23323.0	23342.0	23328.0	23327.0	23322.0	23325.0	23335.0	23334.0	23325.0	23336.0	23323.0	23328.0	23330.0	23339.0	23329.0	23323.0	23328.0	23340.0	23322.0	23327.0	23323.0	23329.0	23327.0	23330.0	23326.0	23335.0	23331.0	23330.0	23327.0	23330.0	23330.0	23325.0	23333.0	23336.0	23329.0	23322.0	23326.0	23332.0	23337.0	23330.0	23330.0	23334.0	23325.0	23331.0	23336.0	23337.0	23328.0	23328.0	23316.0	23327.0	23323.0	23328.0	23320.0	23333.0	23328.0	23333.0	23332.0	23345.0	23326.0	23326.0	23328.0	23330.0	23329.0	23333.0	23328.0	23337.0	23324.0	23317.0	23331.0	23330.0	23330.0	23328.0	23331.0	23340.0	23333.0	23326.0	23339.0	23335.0	23318.0	23328.0	23333.0	23336.0	23328.0	23331.0	23325.0	23337.0	23324.0	23326.0	23333.0	23332.0	23321.0	23330.0	23324.0	23335.0	23340.0	23335.0	23331.0	23330.0	23327.0	23336.0	0.0	0.0	375
375	427917191229.0	23328.0	23330.0	23332.0	23331.0	23337.0	23333.0	23335.0	23328.0	23335.0	23332.0	23329.0	23335.0	23326.0	23332.0	23317.0	23322.0	23336.0	23327.0	23337.0	23329.0	23327.0	23335.0	23324.0	23323.0	23335.0	23324.0	23333.0	23339.0	23331.0	23331.0	23332.0	23325.0	23334.0	23328.0	23326.0	23335.0	23334.0	23332.0	23330.0	23329.0	23336.0	23325.0	23326.0	23335.0	23334.0	23330.0	23330.0	23327.0	23336.0	23332.0	23325.0	23327.0	23329.0	23337.0	23330.0	23328.0	23335.0	23325.0	23334.0	23323.0	23336.0	23325.0	23317.0	23330.0	23326.0	23321.0	23327.0	23331.0	23333.0	23328.0	23328.0	23337.0	23327.0	23326.0	23331.0	23333.0	23331.0	23325.0	23324.0	23327.0	23326.0	23328.0	23333.0	23337.0	23320.0	23320.0	23330.0	23317.0	23335.0	23332.0	23324.0	23332.0	23329.0	23334.0	23329.0	23337.0	23338.0	23321.0	23330.0	23332.0	23332.0	23330.0	23323.0	23332.0	23338.0	23327.0	23332.0	23324.0	23331.0	23333.0	23321.0	23329.0	23331.0	23330.0	23324.0	23317.0	23325.0	23329.0	23338.0	23328.0	23323.0	23326.0	23323.0	23336.0	0.0	0.0	376
376	427925882935.0	23322.0	23333.0	23327.0	23327.0	23335.0	23328.0	23333.0	23326.0	23331.0	23340.0	23327.0	23332.0	23336.0	23334.0	23325.0	23333.0	23326.0	23327.0	23327.0	23338.0	23322.0	23339.0	23328.0	23332.0	23331.0	23345.0	23322.0	23331.0	23330.0	23336.0	23324.0	23333.0	23326.0	23349.0	23328.0	23339.0	23337.0	23334.0	23328.0	23335.0	23322.0	23329.0	23330.0	23322.0	23328.0	23336.0	23331.0	23328.0	23330.0	23336.0	23332.0	23330.0	23331.0	23340.0	23333.0	23325.0	23323.0	23345.0	23337.0	23333.0	23329.0	23330.0	23331.0	23323.0	23328.0	23340.0	23331.0	23331.0	23335.0	23333.0	23326.0	23324.0	23338.0	23345.0	23337.0	23338.0	23333.0	23332.0	23314.0	23323.0	23331.0	23347.0	23322.0	23330.0	23334.0	23333.0	23318.0	23334.0	23322.0	23334.0	23323.0	23322.0	23334.0	23338.0	23327.0	23325.0	23334.0	23337.0	23328.0	23332.0	23330.0	23339.0	23335.0	23327.0	23328.0	23327.0	23340.0	23325.0	23332.0	23320.0	23323.0	23322.0	23321.0	23338.0	23321.0	23324.0	23332.0	23334.0	23322.0	23323.0	23328.0	23338.0	23318.0	23329.0	0.0	0.0	377
377	427926213259.0	23334.0	23336.0	23331.0	23330.0	23337.0	23330.0	23340.0	23342.0	23316.0	23325.0	23328.0	23330.0	23333.0	23319.0	23325.0	23331.0	23337.0	23327.0	23329.0	23326.0	23333.0	23329.0	23325.0	23329.0	23324.0	23324.0	23331.0	23329.0	23333.0	23330.0	23328.0	23330.0	23323.0	23336.0	23325.0	23326.0	23339.0	23331.0	23338.0	23333.0	23326.0	23320.0	23320.0	23333.0	23330.0	23338.0	23329.0	23328.0	23329.0	23325.0	23322.0	23327.0	23342.0	23331.0	23326.0	23333.0	23328.0	23338.0	23330.0	23325.0	23338.0	23326.0	23327.0	23330.0	23335.0	23329.0	23312.0	23332.0	23339.0	23332.0	23338.0	23329.0	23342.0	23331.0	23327.0	23328.0	23328.0	23325.0	23321.0	23328.0	23333.0	23322.0	23327.0	23326.0	23334.0	23324.0	23331.0	23332.0	23324.0	23333.0	23321.0	23325.0	23341.0	23331.0	23329.0	23327.0	23331.0	23336.0	23331.0	23325.0	23334.0	23322.0	23328.0	23331.0	23329.0	23321.0	23323.0	23329.0	23333.0	23322.0	23325.0	23319.0	23329.0	23331.0	23322.0	23328.0	23331.0	23321.0	23330.0	23337.0	23330.0	23330.0	23322.0	23322.0	0.0	0.0	378
378	427927525974.0	23327.0	23325.0	23328.0	23325.0	23330.0	23326.0	23334.0	23331.0	23326.0	23333.0	23327.0	23320.0	23330.0	23330.0	23330.0	23331.0	23331.0	23325.0	23334.0	23325.0	23334.0	23330.0	23341.0	23342.0	23328.0	23329.0	23340.0	23336.0	23337.0	23322.0	23336.0	23336.0	23330.0	23325.0	23332.0	23323.0	23331.0	23331.0	23338.0	23340.0	23328.0	23325.0	23327.0	23330.0	23324.0	23329.0	23331.0	23327.0	23332.0	23323.0	23331.0	23323.0	23328.0	23318.0	23328.0	23337.0	23324.0	23330.0	23325.0	23325.0	23334.0	23322.0	23329.0	23327.0	23319.0	23326.0	23329.0	23328.0	23331.0	23324.0	23328.0	23327.0	23325.0	23322.0	23328.0	23329.0	23326.0	23328.0	23323.0	23330.0	23325.0	23324.0	23332.0	23333.0	23333.0	23334.0	23337.0	23339.0	23331.0	23329.0	23327.0	23333.0	23340.0	23335.0	23327.0	23338.0	23325.0	23329.0	23333.0	23336.0	23335.0	23328.0	23338.0	23336.0	23344.0	23335.0	23333.0	23335.0	23324.0	23334.0	23331.0	23333.0	23333.0	23332.0	23333.0	23329.0	23337.0	23323.0	23328.0	23341.0	23334.0	23332.0	23336.0	23327.0	0.0	0.0	379
379	427933930818.0	23333.0	23334.0	23329.0	23326.0	23334.0	23331.0	23326.0	23329.0	23335.0	23332.0	23326.0	23332.0	23318.0	23325.0	23331.0	23326.0	23329.0	23321.0	23328.0	23334.0	23325.0	23330.0	23325.0	23329.0	23330.0	23328.0	23335.0	23323.0	23325.0	23333.0	23335.0	23329.0	23326.0	23327.0	23331.0	23334.0	23328.0	23336.0	23332.0	23327.0	23330.0	23335.0	23333.0	23329.0	23325.0	23323.0	23326.0	23329.0	23336.0	23323.0	23336.0	23341.0	23330.0	23336.0	23332.0	23328.0	23321.0	23311.0	23321.0	23334.0	23316.0	23319.0	23335.0	23328.0	23335.0	23330.0	23328.0	23318.0	23325.0	23330.0	23333.0	23328.0	23328.0	23325.0	23326.0	23338.0	23320.0	23327.0	23336.0	23330.0	23332.0	23324.0	23333.0	23338.0	23324.0	23325.0	23332.0	23321.0	23328.0	23323.0	23325.0	23330.0	23326.0	23320.0	23334.0	23329.0	23335.0	23332.0	23330.0	23336.0	23320.0	23312.0	23330.0	23327.0	23322.0	23322.0	23321.0	23327.0	23323.0	23332.0	23324.0	23328.0	23325.0	23316.0	23331.0	23333.0	23323.0	23319.0	23322.0	23328.0	23333.0	23327.0	23329.0	23341.0	0.0	0.0	380
380	427946834703.0	23326.0	23329.0	23324.0	23330.0	23321.0	23328.0	23331.0	23327.0	23322.0	23331.0	23319.0	23321.0	23333.0	23332.0	23330.0	23340.0	23326.0	23332.0	23330.0	23329.0	23329.0	23338.0	23324.0	23335.0	23322.0	23329.0	23326.0	23332.0	23326.0	23331.0	23331.0	23331.0	23325.0	23331.0	23322.0	23335.0	23325.0	23325.0	23326.0	23341.0	23325.0	23329.0	23322.0	23328.0	23327.0	23329.0	23325.0	23349.0	23325.0	23324.0	23328.0	23328.0	23332.0	23327.0	23330.0	23334.0	23331.0	23318.0	23323.0	23334.0	23326.0	23331.0	23320.0	23341.0	23330.0	23324.0	23328.0	23332.0	23324.0	23323.0	23334.0	23335.0	23331.0	23329.0	23329.0	23337.0	23322.0	23331.0	23320.0	23338.0	23324.0	23335.0	23327.0	23332.0	23325.0	23336.0	23316.0	23335.0	23325.0	23328.0	23327.0	23330.0	23332.0	23327.0	23327.0	23335.0	23321.0	23326.0	23319.0	23329.0	23330.0	23334.0	23322.0	23332.0	23332.0	23334.0	23320.0	23333.0	23329.0	23327.0	23323.0	23338.0	23321.0	23334.0	23328.0	23329.0	23328.0	23330.0	23326.0	23337.0	23322.0	23344.0	23322.0	23331.0	0.0	0.0	381
381	427950308000.0	23326.0	23334.0	23336.0	23332.0	23343.0	23335.0	23329.0	23327.0	23339.0	23335.0	23332.0	23331.0	23331.0	23332.0	23330.0	23335.0	23337.0	23328.0	23327.0	23337.0	23334.0	23333.0	23333.0	23333.0	23338.0	23337.0	23342.0	23336.0	23334.0	23340.0	23332.0	23338.0	23328.0	23337.0	23337.0	23331.0	23333.0	23324.0	23336.0	23338.0	23336.0	23337.0	23333.0	23332.0	23333.0	23332.0	23332.0	23341.0	23332.0	23332.0	23332.0	23342.0	23332.0	23329.0	23321.0	23336.0	23341.0	23331.0	23339.0	23338.0	23333.0	23326.0	23329.0	23332.0	23341.0	23344.0	23337.0	23332.0	23334.0	23331.0	23326.0	23326.0	23331.0	23332.0	23337.0	23326.0	23334.0	23329.0	23330.0	23337.0	23335.0	23330.0	23337.0	23328.0	23331.0	23330.0	23329.0	23343.0	23327.0	23337.0	23328.0	23331.0	23337.0	23333.0	23327.0	23339.0	23333.0	23325.0	23328.0	23329.0	23334.0	23332.0	23332.0	23329.0	23321.0	23329.0	23335.0	23329.0	23336.0	23334.0	23333.0	23335.0	23336.0	23330.0	23330.0	23323.0	23325.0	23326.0	23331.0	23338.0	23325.0	23337.0	23323.0	23332.0	0.0	0.0	382
382	427954636228.0	23327.0	23327.0	23326.0	23336.0	23324.0	23334.0	23328.0	23331.0	23325.0	23335.0	23336.0	23341.0	23325.0	23331.0	23334.0	23328.0	23334.0	23330.0	23330.0	23336.0	23329.0	23327.0	23327.0	23333.0	23336.0	23328.0	23322.0	23329.0	23338.0	23332.0	23333.0	23326.0	23331.0	23330.0	23327.0	23327.0	23326.0	23327.0	23328.0	23332.0	23328.0	23325.0	23329.0	23330.0	23332.0	23329.0	23329.0	23328.0	23334.0	23331.0	23319.0	23328.0	23330.0	23331.0	23319.0	23327.0	23331.0	23321.0	23334.0	23333.0	23318.0	23325.0	23332.0	23331.0	23330.0	23323.0	23323.0	23333.0	23316.0	23328.0	23327.0	23329.0	23323.0	23334.0	23332.0	23334.0	23336.0	23332.0	23323.0	23329.0	23329.0	23319.0	23338.0	23338.0	23332.0	23325.0	23330.0	23329.0	23342.0	23314.0	23326.0	23330.0	23331.0	23324.0	23323.0	23326.0	23331.0	23334.0	23328.0	23331.0	23328.0	23324.0	23334.0	23331.0	23326.0	23329.0	23322.0	23337.0	23326.0	23325.0	23335.0	23335.0	23328.0	23334.0	23336.0	23331.0	23332.0	23333.0	23330.0	23325.0	23332.0	23326.0	23324.0	23333.0	0.0	0.0	383
383	427955353930.0	23336.0	23332.0	23348.0	23324.0	23331.0	23333.0	23332.0	23325.0	23334.0	23331.0	23337.0	23327.0	23327.0	23333.0	23337.0	23331.0	23337.0	23331.0	23346.0	23331.0	23330.0	23330.0	23332.0	23329.0	23330.0	23326.0	23336.0	23328.0	23334.0	23330.0	23327.0	23324.0	23326.0	23319.0	23335.0	23329.0	23326.0	23323.0	23337.0	23321.0	23325.0	23321.0	23331.0	23323.0	23328.0	23334.0	23328.0	23319.0	23330.0	23322.0	23332.0	23320.0	23328.0	23328.0	23325.0	23329.0	23321.0	23330.0	23334.0	23336.0	23338.0	23331.0	23330.0	23330.0	23331.0	23330.0	23330.0	23329.0	23341.0	23327.0	23327.0	23321.0	23335.0	23321.0	23336.0	23320.0	23336.0	23339.0	23330.0	23329.0	23326.0	23319.0	23335.0	23316.0	23323.0	23332.0	23329.0	23322.0	23321.0	23325.0	23342.0	23329.0	23340.0	23326.0	23333.0	23333.0	23331.0	23326.0	23338.0	23326.0	23318.0	23333.0	23330.0	23336.0	23336.0	23327.0	23334.0	23329.0	23337.0	23323.0	23330.0	23327.0	23331.0	23333.0	23338.0	23334.0	23326.0	23327.0	23324.0	23323.0	23326.0	23323.0	23329.0	23332.0	0.0	0.0	384
384	427963520991.0	23320.0	23325.0	23331.0	23333.0	23322.0	23336.0	23340.0	23328.0	23325.0	23332.0	23332.0	23336.0	23329.0	23335.0	23329.0	23332.0	23330.0	23330.0	23336.0	23338.0	23336.0	23337.0	23327.0	23331.0	23332.0	23333.0	23326.0	23331.0	23329.0	23336.0	23326.0	23336.0	23329.0	23330.0	23315.0	23342.0	23331.0	23327.0	23327.0	23336.0	23330.0	23325.0	23322.0	23340.0	23330.0	23331.0	23332.0	23342.0	23325.0	23327.0	23328.0	23337.0	23326.0	23331.0	23327.0	23337.0	23330.0	23332.0	23323.0	23332.0	23320.0	23326.0	23323.0	23332.0	23326.0	23330.0	23325.0	23329.0	23328.0	23332.0	23313.0	23331.0	23322.0	23326.0	23329.0	23331.0	23321.0	23324.0	23322.0	23339.0	23327.0	23338.0	23340.0	23329.0	23330.0	23330.0	23331.0	23335.0	23329.0	23325.0	23322.0	23320.0	23317.0	23324.0	23327.0	23332.0	23329.0	23333.0	23326.0	23332.0	23330.0	23322.0	23323.0	23332.0	23318.0	23329.0	23336.0	23331.0	23319.0	23326.0	23321.0	23330.0	23325.0	23328.0	23338.0	23335.0	23328.0	23327.0	23323.0	23340.0	23332.0	23331.0	23334.0	23334.0	0.0	0.0	385
385	427972344596.0	23334.0	23320.0	23338.0	23338.0	23333.0	23340.0	23333.0	23329.0	23332.0	23329.0	23328.0	23326.0	23329.0	23339.0	23329.0	23328.0	23334.0	23321.0	23333.0	23335.0	23337.0	23337.0	23332.0	23337.0	23328.0	23335.0	23338.0	23324.0	23329.0	23339.0	23332.0	23322.0	23335.0	23323.0	23334.0	23320.0	23334.0	23333.0	23326.0	23337.0	23329.0	23326.0	23326.0	23324.0	23327.0	23333.0	23331.0	23330.0	23333.0	23328.0	23335.0	23326.0	23330.0	23332.0	23335.0	23330.0	23340.0	23331.0	23337.0	23339.0	23333.0	23347.0	23334.0	23332.0	23338.0	23326.0	23343.0	23331.0	23333.0	23338.0	23335.0	23329.0	23332.0	23329.0	23333.0	23327.0	23324.0	23339.0	23331.0	23319.0	23336.0	23335.0	23335.0	23332.0	23326.0	23322.0	23328.0	23332.0	23334.0	23328.0	23335.0	23326.0	23335.0	23336.0	23333.0	23327.0	23338.0	23325.0	23326.0	23328.0	23342.0	23331.0	23333.0	23342.0	23342.0	23329.0	23333.0	23336.0	23335.0	23339.0	23329.0	23328.0	23333.0	23326.0	23336.0	23337.0	23327.0	23339.0	23333.0	23343.0	23341.0	23333.0	23332.0	23331.0	0.0	0.0	386
386	427973181032.0	23335.0	23331.0	23324.0	23326.0	23329.0	23332.0	23336.0	23321.0	23329.0	23332.0	23337.0	23333.0	23330.0	23331.0	23331.0	23328.0	23334.0	23330.0	23336.0	23323.0	23330.0	23332.0	23335.0	23329.0	23333.0	23328.0	23348.0	23330.0	23329.0	23327.0	23335.0	23329.0	23325.0	23328.0	23333.0	23323.0	23316.0	23326.0	23326.0	23322.0	23327.0	23323.0	23334.0	23322.0	23334.0	23322.0	23331.0	23320.0	23324.0	23319.0	23338.0	23323.0	23333.0	23330.0	23330.0	23329.0	23337.0	23325.0	23339.0	23324.0	23331.0	23326.0	23331.0	23325.0	23332.0	23332.0	23331.0	23330.0	23334.0	23328.0	23330.0	23322.0	23327.0	23319.0	23332.0	23326.0	23331.0	23326.0	23334.0	23339.0	23329.0	23316.0	23341.0	23335.0	23328.0	23331.0	23334.0	23326.0	23328.0	23318.0	23338.0	23325.0	23328.0	23327.0	23329.0	23322.0	23328.0	23330.0	23343.0	23330.0	23331.0	23326.0	23325.0	23323.0	23328.0	23327.0	23338.0	23328.0	23330.0	23334.0	23337.0	23320.0	23331.0	23329.0	23330.0	23330.0	23331.0	23326.0	23334.0	23326.0	23328.0	23324.0	23333.0	23319.0	0.0	0.0	387
387	427973455312.0	23332.0	23321.0	23338.0	23328.0	23328.0	23318.0	23324.0	23330.0	23330.0	23321.0	23328.0	23323.0	23337.0	23325.0	23328.0	23331.0	23329.0	23327.0	23326.0	23331.0	23327.0	23322.0	23322.0	23331.0	23326.0	23327.0	23332.0	23334.0	23329.0	23327.0	23328.0	23334.0	23329.0	23314.0	23323.0	23326.0	23326.0	23318.0	23326.0	23328.0	23339.0	23330.0	23331.0	23320.0	23333.0	23322.0	23335.0	23331.0	23336.0	23319.0	23336.0	23344.0	23329.0	23334.0	23328.0	23334.0	23333.0	23318.0	23342.0	23325.0	23338.0	23326.0	23338.0	23334.0	23339.0	23333.0	23328.0	23333.0	23327.0	23325.0	23322.0	23327.0	23332.0	23321.0	23331.0	23329.0	23331.0	23332.0	23328.0	23332.0	23333.0	23325.0	23341.0	23315.0	23333.0	23328.0	23325.0	23332.0	23326.0	23322.0	23332.0	23326.0	23328.0	23332.0	23321.0	23337.0	23331.0	23322.0	23335.0	23326.0	23323.0	23327.0	23335.0	23338.0	23324.0	23323.0	23330.0	23336.0	23327.0	23322.0	23327.0	23337.0	23327.0	23317.0	23324.0	23324.0	23333.0	23327.0	23327.0	23336.0	23328.0	23334.0	23331.0	23333.0	0.0	0.0	388
388	427976654247.0	23332.0	23327.0	23315.0	23325.0	23323.0	23327.0	23324.0	23333.0	23338.0	23326.0	23326.0	23331.0	23319.0	23323.0	23315.0	23330.0	23325.0	23320.0	23324.0	23331.0	23334.0	23329.0	23326.0	23333.0	23332.0	23327.0	23324.0	23338.0	23330.0	23329.0	23328.0	23323.0	23334.0	23329.0	23331.0	23335.0	23333.0	23323.0	23330.0	23325.0	23340.0	23331.0	23326.0	23332.0	23326.0	23331.0	23331.0	23332.0	23328.0	23320.0	23337.0	23329.0	23328.0	23344.0	23329.0	23322.0	23331.0	23334.0	23325.0	23334.0	23319.0	23331.0	23325.0	23330.0	23321.0	23323.0	23318.0	23330.0	23321.0	23329.0	23331.0	23325.0	23331.0	23322.0	23328.0	23333.0	23316.0	23322.0	23326.0	23322.0	23335.0	23330.0	23320.0	23332.0	23323.0	23321.0	23320.0	23324.0	23323.0	23322.0	23315.0	23328.0	23323.0	23333.0	23318.0	23318.0	23323.0	23316.0	23305.0	23326.0	23325.0	23328.0	23319.0	23321.0	23320.0	23335.0	23320.0	23326.0	23320.0	23324.0	23322.0	23319.0	23336.0	23319.0	23324.0	23332.0	23326.0	23325.0	23331.0	23333.0	23332.0	23330.0	23317.0	23332.0	0.0	0.0	389
389	427977654145.0	23331.0	23336.0	23327.0	23337.0	23333.0	23334.0	23340.0	23343.0	23335.0	23333.0	23331.0	23333.0	23329.0	23335.0	23334.0	23331.0	23335.0	23324.0	23322.0	23323.0	23326.0	23337.0	23327.0	23336.0	23326.0	23320.0	23335.0	23335.0	23328.0	23331.0	23330.0	23335.0	23333.0	23323.0	23338.0	23342.0	23328.0	23326.0	23332.0	23339.0	23338.0	23334.0	23333.0	23334.0	23333.0	23330.0	23330.0	23344.0	23322.0	23328.0	23325.0	23325.0	23327.0	23332.0	23337.0	23329.0	23333.0	23319.0	23323.0	23328.0	23329.0	23333.0	23329.0	23333.0	23335.0	23325.0	23339.0	23338.0	23335.0	23335.0	23328.0	23335.0	23328.0	23327.0	23328.0	23329.0	23329.0	23328.0	23323.0	23340.0	23327.0	23327.0	23332.0	23329.0	23333.0	23324.0	23332.0	23338.0	23330.0	23337.0	23333.0	23326.0	23336.0	23331.0	23338.0	23339.0	23321.0	23326.0	23337.0	23337.0	23324.0	23322.0	23326.0	23344.0	23331.0	23325.0	23336.0	23327.0	23336.0	23326.0	23329.0	23333.0	23329.0	23335.0	23333.0	23328.0	23331.0	23325.0	23321.0	23342.0	23335.0	23321.0	23334.0	23334.0	0.0	0.0	390
390	427980134186.0	23331.0	23322.0	23332.0	23330.0	23328.0	23325.0	23330.0	23328.0	23332.0	23322.0	23329.0	23337.0	23324.0	23332.0	23331.0	23320.0	23330.0	23329.0	23328.0	23324.0	23324.0	23328.0	23323.0	23325.0	23329.0	23317.0	23331.0	23326.0	23330.0	23322.0	23318.0	23324.0	23329.0	23321.0	23333.0	23335.0	23329.0	23323.0	23331.0	23326.0	23326.0	23327.0	23327.0	23326.0	23328.0	23327.0	23330.0	23326.0	23331.0	23323.0	23327.0	23325.0	23328.0	23332.0	23330.0	23334.0	23328.0	23322.0	23329.0	23330.0	23329.0	23330.0	23326.0	23330.0	23330.0	23324.0	23329.0	23325.0	23326.0	23324.0	23333.0	23333.0	23330.0	23328.0	23337.0	23329.0	23320.0	23327.0	23325.0	23323.0	23328.0	23320.0	23330.0	23328.0	23324.0	23319.0	23327.0	23328.0	23334.0	23333.0	23335.0	23326.0	23326.0	23325.0	23329.0	23332.0	23331.0	23324.0	23333.0	23324.0	23333.0	23325.0	23316.0	23320.0	23338.0	23323.0	23324.0	23336.0	23331.0	23328.0	23318.0	23330.0	23338.0	23315.0	23327.0	23332.0	23333.0	23324.0	23333.0	23322.0	23339.0	23335.0	23331.0	23337.0	0.0	0.0	391
391	427993353412.0	23336.0	23335.0	23329.0	23321.0	23333.0	23337.0	23325.0	23330.0	23327.0	23335.0	23336.0	23323.0	23329.0	23332.0	23325.0	23326.0	23328.0	23334.0	23331.0	23337.0	23339.0	23326.0	23338.0	23332.0	23336.0	23330.0	23334.0	23332.0	23334.0	23323.0	23331.0	23325.0	23336.0	23342.0	23324.0	23329.0	23338.0	23327.0	23331.0	23327.0	23333.0	23330.0	23332.0	23328.0	23330.0	23329.0	23333.0	23326.0	23328.0	23328.0	23339.0	23334.0	23326.0	23330.0	23327.0	23328.0	23329.0	23333.0	23331.0	23327.0	23331.0	23325.0	23328.0	23327.0	23332.0	23334.0	23323.0	23318.0	23333.0	23330.0	23340.0	23336.0	23326.0	23334.0	23329.0	23315.0	23333.0	23320.0	23335.0	23321.0	23322.0	23328.0	23325.0	23320.0	23328.0	23331.0	23327.0	23328.0	23331.0	23330.0	23335.0	23326.0	23335.0	23334.0	23339.0	23333.0	23337.0	23336.0	23323.0	23333.0	23337.0	23320.0	23330.0	23327.0	23326.0	23341.0	23324.0	23321.0	23331.0	23335.0	23331.0	23331.0	23331.0	23330.0	23328.0	23338.0	23328.0	23334.0	23331.0	23323.0	23338.0	23332.0	23327.0	23329.0	0.0	0.0	392
392	427999220167.0	23323.0	23330.0	23332.0	23327.0	23336.0	23340.0	23326.0	23333.0	23335.0	23328.0	23334.0	23327.0	23333.0	23337.0	23325.0	23327.0	23327.0	23331.0	23328.0	23336.0	23327.0	23343.0	23330.0	23334.0	23326.0	23330.0	23335.0	23328.0	23328.0	23345.0	23337.0	23335.0	23329.0	23328.0	23327.0	23328.0	23319.0	23332.0	23336.0	23332.0	23340.0	23334.0	23328.0	23333.0	23324.0	23344.0	23325.0	23326.0	23333.0	23328.0	23325.0	23334.0	23327.0	23336.0	23327.0	23330.0	23328.0	23336.0	23334.0	23330.0	23330.0	23334.0	23333.0	23331.0	23335.0	23338.0	23331.0	23328.0	23328.0	23331.0	23329.0	23326.0	23332.0	23332.0	23335.0	23329.0	23328.0	23337.0	23333.0	23329.0	23335.0	23329.0	23330.0	23338.0	23333.0	23336.0	23332.0	23323.0	23331.0	23324.0	23320.0	23324.0	23323.0	23340.0	23320.0	23328.0	23324.0	23331.0	23323.0	23322.0	23330.0	23330.0	23321.0	23321.0	23330.0	23324.0	23324.0	23328.0	23325.0	23338.0	23324.0	23332.0	23337.0	23327.0	23324.0	23337.0	23324.0	23339.0	23339.0	23338.0	23329.0	23328.0	23328.0	23331.0	0.0	0.0	393
393	428000149559.0	23330.0	23327.0	23318.0	23325.0	23321.0	23337.0	23325.0	23321.0	23336.0	23330.0	23331.0	23330.0	23342.0	23327.0	23336.0	23332.0	23327.0	23330.0	23333.0	23335.0	23332.0	23327.0	23323.0	23323.0	23340.0	23328.0	23327.0	23330.0	23323.0	23327.0	23324.0	23330.0	23332.0	23331.0	23331.0	23332.0	23331.0	23332.0	23328.0	23326.0	23333.0	23322.0	23330.0	23331.0	23337.0	23327.0	23337.0	23327.0	23342.0	23330.0	23329.0	23330.0	23323.0	23333.0	23330.0	23324.0	23333.0	23330.0	23329.0	23325.0	23330.0	23332.0	23331.0	23333.0	23335.0	23324.0	23330.0	23333.0	23326.0	23332.0	23319.0	23328.0	23330.0	23327.0	23325.0	23338.0	23335.0	23329.0	23336.0	23330.0	23346.0	23336.0	23326.0	23328.0	23326.0	23333.0	23320.0	23324.0	23337.0	23328.0	23329.0	23335.0	23334.0	23339.0	23327.0	23327.0	23331.0	23331.0	23332.0	23337.0	23329.0	23333.0	23326.0	23319.0	23334.0	23326.0	23337.0	23329.0	23331.0	23330.0	23320.0	23335.0	23331.0	23326.0	23335.0	23326.0	23327.0	23341.0	23328.0	23324.0	23333.0	23333.0	23336.0	23335.0	0.0	0.0	394
394	428008096253.0	23329.0	23337.0	23321.0	23326.0	23333.0	23336.0	23326.0	23333.0	23339.0	23332.0	23326.0	23326.0	23324.0	23330.0	23325.0	23323.0	23326.0	23326.0	23328.0	23326.0	23328.0	23330.0	23335.0	23333.0	23323.0	23326.0	23324.0	23319.0	23328.0	23329.0	23320.0	23330.0	23336.0	23334.0	23326.0	23323.0	23322.0	23339.0	23326.0	23323.0	23331.0	23335.0	23328.0	23329.0	23321.0	23334.0	23325.0	23326.0	23329.0	23342.0	23327.0	23320.0	23329.0	23334.0	23328.0	23324.0	23321.0	23318.0	23321.0	23328.0	23318.0	23328.0	23330.0	23326.0	23330.0	23328.0	23330.0	23326.0	23331.0	23329.0	23330.0	23330.0	23332.0	23338.0	23327.0	23324.0	23330.0	23329.0	23331.0	23333.0	23332.0	23336.0	23329.0	23331.0	23325.0	23330.0	23328.0	23337.0	23327.0	23326.0	23326.0	23329.0	23325.0	23336.0	23330.0	23336.0	23332.0	23332.0	23333.0	23333.0	23329.0	23336.0	23332.0	23326.0	23327.0	23335.0	23323.0	23329.0	23327.0	23332.0	23325.0	23323.0	23332.0	23340.0	23330.0	23332.0	23329.0	23333.0	23337.0	23337.0	23336.0	23336.0	23333.0	23335.0	0.0	0.0	395
